t,x,y,z,yaw
5.050000000000001,0.19047691559823587,0,1.412491833338453,0
5.1000000000000005,0.18075879284570828,0,1.4248325434819415,0
5.15,0.1708480295437903,0,1.4370190855448963,0
5.2,0.16074707102502928,0,1.4490484526804137,0
5.25,0.1504584095497955,0,1.4609176768221528,0
5.300000000000001,0.13998458369135525,0,1.4726238294166598,0
5.3500000000000005,0.12932817770951666,0,1.484164022145944,0
5.4,0.1184918209129997,0,1.4955354076401302,0
5.45,0.10747818701069645,0,1.5067351801800006,0
5.5,0.09628999345197187,0,1.5177605763892672,0
5.550000000000001,0.08493000075617341,0,1.528608875916392,0
5.6000000000000005,0.07340101183151615,0,1.539277402105793,0
5.65,0.06170587128350513,0,1.5497635226582696,0
5.7,0.04984746471307244,0,1.5600646502804825,0
5.75,0.03782871800459797,0,1.5701782433233304,0
5.800000000000001,0.025652596603991995,0,1.5801018064090626,0
5.8500000000000005,0.013322104787014788,0,1.5898328910469772,0
5.9,0.0008402849180167982,0,1.5993690962375493,0
5.95,-0.011789783300718226,0,1.6087080690648414,0
6.0,-0.024564983588845513,0,1.6178475052770502,0
6.050000000000001,-0.037482163856853434,0,1.626785149855047,0
6.1000000000000005,-0.05053813698379439,0,1.6355187975687684,0
6.15,-0.06372968160366044,0,1.6440462935213263,0
6.2,-0.07705354290020561,0,1.6523655336806933,0
6.25,-0.0905064334100244,0,1.660474465398844,0
6.300000000000001,-0.1040850338336835,0,1.6683710879182132,0
6.3500000000000005,-0.11778599385470923,0,1.6760534528653543,0
6.4,-0.13160593296622802,0,1.68351966473167,0
6.45,-0.14554144130505658,0,1.6907678813411016,0
6.5,-0.15958908049303366,0,1.6977963143046582,0
6.550000000000001,-0.1737453844853895,0,1.704603229461675,0
6.6000000000000005,-0.18800686042593845,0,1.7111869473076906,0
6.65,-0.20236998950889157,0,1.7175458434088409,0
6.7,-0.21683122784706788,0,1.7236783488026632,0
6.75,-0.23138700734629541,0,1.7295829503852145,0
6.800000000000001,-0.24603373658578614,0,1.7352581912844065,0
6.8500000000000005,-0.260767801704263,0,1.7407026712194678,0
6.9,-0.275585567291629,0,1.7459150468464415,0
6.95,-0.29048337728594836,0,1.750894032089637,0
7.0,-0.3054575558755258,0,1.755638398458947,0
7.050000000000001,-0.32050440840585825,0,1.7601469753529617,0
7.1000000000000005,-0.3356202222912337,0,1.7644186503477957,0
7.15,-0.3508012679307594,0,1.7684523694715621,0
